Date,Description,Currency,Amount,Payment Method
2025-03-15,ON FIT C.02/06 006805,ARS,107970.00,BBVA Mastercard
2025-03-27,MERPAGO*MCDONALDS 927266,ARS,4000.00,BBVA Mastercard
2025-03-27,MI GUSTO 007595,ARS,21000.00,BBVA Mastercard
2025-03-28,MERPAGO*SCANNAPIECO 978346,ARS,9500.00,BBVA Mastercard
2025-03-29,ASUMARE PALERMO-ASU MA 000046,ARS,39500.00,BBVA Mastercard
2025-03-29,MERPAGO*MCDONALDSECOMM 879024,ARS,3200.00,BBVA Mastercard
2025-04-04,SU PAGO EN PESOS,ARS,-508042.70,BBVA Mastercard
