Date,Description,Currency,Amount,Payment Method
2022-12-19,723585V Spotify P1FA6BC5 P1FA6BC536,ARS,389.00,Macro VISA
2022-12-19,510275* EXPERTA SEGUR 0000006884833-015-003,ARS,173.00,Macro VISA
2022-12-19,510274* EXPERTA SEGUR 0000006884832-015-002,ARS,845.00,Macro VISA
2022-12-20,249542K MERPAGO*PIAF,ARS,1900.00,Macro VISA
2022-12-20,329101* VEA SM 700,ARS,17340.08,Macro VISA
2022-12-20,329102* VEA SM 700,ARS,11430.58,Macro VISA
2022-12-22,500750K MERPAGO*FARMACITY,ARS,12263.15,Macro VISA
2022-12-22,IMPUESTO DE SELLOS $,ARS,6847.70,Macro VISA
2022-12-22,IMPUESTO DE SELLOS P $,ARS,24.40,Macro VISA
2022-12-22,DB.IMPUESTO PAIS 8%( 1588.00 ),ARS,127.04,Macro VISA
2022-12-22,IIBB PERCEP-CABA 2.00%( 1199.00),ARS,23.98,Macro VISA
2022-12-22,IIBB PERCEP-CABA 2.00%( 389.00),ARS,7.78,Macro VISA
2022-12-22,IVA RG 4240 21%( 1199.00),ARS,251.79,Macro VISA
2022-12-22,IVA RG 4240 21%( 389.00),ARS,81.69,Macro VISA
2022-12-22,DB.IMPUESTO PAIS 30%( 1969.36 ),ARS,590.80,Macro VISA
2022-12-22,DB.RG 4815 45% ( 3557.36 ),ARS,1600.81,Macro VISA
